"time","gFM_VSM_cc.measurementPcc.PGenPu"
0,0
1e-10,-5.235987717570891e-09
1e-10,-5.235987717570891e-09
0.001,-0.1835117138537019
0.002,-0.3887689976233577
0.003,-0.384005480206739
0.004,-0.3599644787087126
0.005,-0.2957109601147871
0.006,-0.2613619763366331
0.007,-0.232532650814103
0.008,-0.2116037377938071
0.009,-0.1934388194444252
0.01,-0.1805263742368129
0.011,-0.1643607785728697
0.012,-0.1550822577577184
0.013,-0.1419684469422042
0.014,-0.1332113661839989
0.015,-0.1232920420242355
0.016,-0.1144162362455478
0.017,-0.1061404667019168
0.018,-0.09760200545281007
0.019,-0.08964748578186091
0.02,-0.08154901056439538
0.021,-0.07352245933494107
0.022,-0.06550975304532677
0.023,-0.05740363572350171
0.024,-0.04922379094385233
0.025,-0.0409659882390602
0.026,-0.03256708772222955
0.027,-0.02405467926391492
0.028,-0.01540779603141602
0.029,-0.006627507164558748
0.03,0.002289511637946304
0.031,0.01134306164758593
0.032,0.02053182521304951
0.033,0.0298534486988399
0.034,0.03930466222166435
0.035,0.04888177485353162
0.036,0.05858015565169124
0.037,0.06839437420634195
0.038,0.07831877475935117
0.039,0.08834765229133117
0.04,0.09847512386694546
0.041,0.1086953058376275
0.042,0.1190021020309028
0.043,0.1293894706570998
0.044,0.1398513373787317
0.045,0.1503815283671113
0.046,0.1609739835695727
0.047,0.1716224415378623
0.048,0.1823207689206418
0.049,0.193062871807568
0.05,0.2038426863920611
0.051,0.2146540914699739
0.052,0.2254913033320434
0.053,0.2363482239461584
0.054,0.2472191092075539
0.055,0.2580981853268966
0.056,0.2689795794140338
0.057,0.2798577817658487
0.058,0.290727092889715
0.059,0.3015821028622594
0.06,0.312417410981542
0.061,0.3232276647223029
0.062,0.3340075619742022
0.063,0.3447519206824345
0.064,0.3554556751612422
0.065,0.3661137970453512
0.066,0.3767213402273611
0.067,0.3872734345455764
0.068,0.397765295932735
0.069,0.4081922154953161
0.07,0.418549562395928
0.071,0.4288328909908179
0.072,0.4390377443189614
0.073,0.4491597553741091
0.074,0.4591946542362604
0.075,0.4691382597242976
0.076,0.4789866672593792
0.077,0.4887358123121237
0.078,0.4983818096258212
0.079,0.5079208635537641
0.08,0.5173493092661656
0.081,0.526663724667342
0.082,0.5358605350929707
0.083,0.5449363571472345
0.084,0.5538879026834934
0.085,0.5627120326319687
0.086,0.5714057447780883
0.087,0.57996601729103
0.088,0.5883899789142748
0.089,0.5966748571929072
0.09,0.6048179868178282
0.091,0.6128167985678459
0.092,0.6206688155879516
0.093,0.6283716636495319
0.094,0.6359230672940303
0.095,0.6433208930814823
0.096,0.6505630744655877
0.097,0.6576476446030107
0.098,0.6645727467528758
0.099,0.6713366272704872
0.1,0.6779375971095952
0.1,0.6779375978266873
0.1,0.6779375978266873
0.101,0.6843703239517119
0.102,0.6906408587680316
0.103,0.6967439152187926
0.104,0.7026782993637595
0.105,0.7084426747595249
0.106,0.7140363619555531
0.107,0.7194587864878534
0.108,0.7247084667428081
0.109,0.7297851126865851
0.11,0.7346880693529563
0.111,0.7394164622965709
0.112,0.7439703139331013
0.113,0.7483490513486908
0.114,0.7525523986497216
0.115,0.7565801038331548
0.116,0.760431975916808
0.117,0.7641076665725455
0.118,0.7676075262998081
0.119,0.770931569121897
0.12,0.7740795944651022
0.121,0.7770527887494674
0.122,0.7798510120666319
0.123,0.7824746815801351
0.124,0.7849250185511654
0.125,0.7872022074183322
0.126,0.7893071093764645
0.127,0.791240838633566
0.128,0.7930039174838336
0.129,0.7945975183784955
0.13,0.796022798495337
0.131,0.7972808029287104
0.132,0.7983727134775412
0.133,0.7992998036196437
0.134,0.8000634110842054
0.135,0.8006649351428107
0.136,0.8011058527466537
0.137,0.8013877078727295
0.138,0.8015121140762838
0.139,0.8014807545239357
0.14,0.8012953069447681
0.141,0.8009575630603265
0.142,0.8004694080044183
0.143,0.7998327704608793
0.144,0.7990496449339736
0.145,0.7981220461512025
0.146,0.7970518374574609
0.147,0.7958412958802501
0.148,0.7944926182755188
0.149,0.7930080608708253
0.15,0.7913899392953786
0.151,0.7896403269945851
0.152,0.7877615640455261
0.153,0.7857561683290508
0.154,0.7836266033792895
0.155,0.7813753836591565
0.156,0.7790050051802813
0.157,0.7765176190930436
0.158,0.7739160584104764
0.159,0.7712029457014389
0.16,0.7683809449348314
0.161,0.7654527614990113
0.162,0.7624208326610422
0.163,0.7592878274271773
0.164,0.7560566082977336
0.165,0.7527299504628684
0.166,0.7493106614043058
0.167,0.7458015404206526
0.168,0.7422051121569835
0.169,0.73852435851742
0.17,0.7347621080635427
0.171,0.7309212021262651
0.172,0.7270044933286302
0.173,0.7230147868479885
0.174,0.7189549182133125
0.175,0.7148277623349995
0.176,0.7106361712003852
